Date,Team 1,Score 1,Team 2,Score 2
20230315,76ers,118,Cavaliers,109
20230315,Grizzlies,119,Heat,138
20230315,Kings,117,Bulls,114
20230315,Lakers,110,Rockets,114
20230315,Celtics,104,Timberwolves,102
20230315,Mavericks,137,Spurs,128
20230315,Warriors,126,Clippers,134
20230316,Nuggets,119,Pistons,100
20230316,Kings,101,Nets,96
20230316,Thunder,111,Raptors,128
20230316,Pacers,139,Bucks,123
20230316,Magic,113,Suns,116
20230317,76ers,121,Hornets,82
20230317,Warriors,119,Hawks,127
20230317,Wizards,94,Cavaliers,117
20230317,Timberwolves,131,Bulls,139
20230317,Pelicans,112,Rockets,114
20230317,Grizzlies,126,Spurs,120
20230317,Celtics,126,Trail Blazers,112
20230317,Mavericks,111,Lakers,110
20230318,Nuggets,110,Knicks,116
20230318,Magic,113,Clippers,108
20230318,76ers,141,Pacers,121
20230318,Timberwolves,107,Raptors,122
20230318,Kings,132,Wizards,118
20230318,Heat,99,Bulls,113
20230318,Warriors,119,Grizzlies,133
20230318,Celtics,117,Jazz,118
